統計期,統計區,總計,紙類及紙製品,金屬類,塑膠及橡膠製品,玻璃製品,紡織品,家電用品,電池,資訊及通信物品,農藥容器及特殊環境用藥容器,食用油,其他
100年,新北市,460027,258970,100656,39824,26349,4825,5075,1538,2135,44,0,20610
100年,臺北市,491820,272296,169328,16031,9503,1453,3005,839,2729,3,0,16633
100年,桃園市,284655,156515,46405,34286,20731,1211,3934,878,1690,35,0,18970
100年,臺中市,312112,174744,44386,33240,30159,3443,3859,1237,1533,83,0,19428
100年,臺南市,254245,129243,70499,21662,15056,2216,2273,1022,907,73,0,11293
100年,高雄市,413490,199698,94844,53905,37711,4879,3540,1860,1515,246,0,15292
100年,宜蘭縣,70577,34024,13268,9883,6018,1306,878,201,243,35,0,4721
100年,新竹縣,61300,25331,24369,5691,3607,414,764,315,346,6,0,457
100年,苗栗縣,67140,33242,14661,8316,5466,1269,1178,561,614,106,0,1727
100年,彰化縣,137331,76148,17410,14840,15105,3970,2298,1135,711,154,0,5560
100年,南投縣,60600,32819,10377,8266,6042,551,551,226,86,32,0,1650
100年,雲林縣,54789,25254,13651,5913,5431,694,1187,561,200,203,0,1695
100年,嘉義縣,60214,21367,19018,8965,5168,1510,920,254,572,91,0,2349
100年,屏東縣,84859,35280,23260,9946,9452,1248,1227,378,261,80,0,3726
100年,臺東縣,24451,6532,2346,7832,4924,289,55,79,13,8,0,2373
100年,花蓮縣,40385,21168,7055,5672,3349,380,934,295,354,8,0,1170
100年,澎湖縣,12709,6393,1184,1091,2485,141,256,148,137,33,0,842
100年,基隆市,64018,36994,6543,8085,7679,616,1225,67,273,32,0,2505
100年,新竹市,59635,41119,5017,3349,4349,2681,516,624,207,14,0,1758
100年,嘉義市,39450,19837,10309,3334,1373,609,1556,197,286,0,0,1949
100年,金門縣,6892,3583,736,1039,539,51,101,28,64,1,0,750
100年,連江縣,2481,775,904,147,50,0,100,13,17,0,0,474
100年 1月,新北市,42740,22661,9421,3654,2480,590,426,138,217,8,0,3146
100年 1月,臺北市,40617,22981,12808,1385,989,182,291,70,66,0,0,1844
100年 1月,桃園市,26974,13672,4243,3680,2392,116,522,70,134,4,0,2143
100年 1月,臺中市,26618,14310,3759,2909,2897,300,326,135,143,7,0,1832
100年 1月,臺南市,19365,9030,5307,1931,1264,210,169,56,62,7,0,1329
100年 1月,高雄市,33107,16649,6810,4680,2652,413,304,176,118,16,0,1290
100年 1月,宜蘭縣,5913,2844,1137,805,534,140,81,15,26,3,0,329
100年 1月,新竹縣,5451,2183,2115,423,319,35,61,25,25,1,0,265
100年 1月,苗栗縣,5521,2786,1007,644,491,112,112,55,85,9,0,221
100年 1月,彰化縣,11573,6294,1467,1261,1354,328,219,112,72,13,0,453
100年 1月,南投縣,5762,2828,1022,781,751,67,60,20,14,4,0,214
100年 1月,雲林縣,4608,2247,1027,467,434,66,95,41,16,21,0,193
100年 1月,嘉義縣,5135,1893,1573,645,472,121,108,22,88,5,0,208
100年 1月,屏東縣,6871,2806,1923,778,820,113,108,32,27,7,0,260
100年 1月,臺東縣,2001,577,264,714,296,22,5,7,1,1,0,114
100年 1月,花蓮縣,3402,1867,559,450,317,26,48,25,15,1,0,94
100年 1月,澎湖縣,948,544,93,65,136,13,19,14,8,2,0,55
100年 1月,基隆市,5520,3088,523,760,551,77,72,8,20,5,0,415
100年 1月,新竹市,5898,3727,434,324,397,239,64,66,17,2,0,629
100年 1月,嘉義市,3311,1620,846,263,163,59,127,14,23,0,0,196
100年 1月,金門縣,575,288,60,48,43,2,13,7,11,0,0,102
100年 1月,連江縣,297,112,123,14,6,0,12,2,3,0,0,25
100年 2月,新北市,37103,21175,7828,3157,2301,526,380,119,188,5,0,1425
100年 2月,臺北市,33913,20172,11076,658,578,132,179,54,344,0,0,720
100年 2月,桃園市,23540,13224,3372,2509,2537,92,257,71,134,2,0,1342
100年 2月,臺中市,24683,13851,3290,2757,2577,231,305,102,137,6,0,1426
100年 2月,臺南市,17130,8381,5052,1515,1166,193,172,58,60,5,0,528
100年 2月,高雄市,30506,14629,6559,4247,3045,442,282,141,122,28,0,1011
100年 2月,宜蘭縣,5610,2740,1057,762,458,121,69,14,23,3,0,365
100年 2月,新竹縣,4328,1836,1636,416,268,35,64,27,27,1,0,19
100年 2月,苗栗縣,6138,3026,1558,617,411,109,169,58,64,7,0,119
100年 2月,彰化縣,11172,6120,1363,1245,1195,308,225,100,71,13,0,532
100年 2月,南投縣,5001,2669,906,657,522,58,62,20,9,3,0,95
100年 2月,雲林縣,4290,2075,912,534,466,52,104,31,16,19,0,82
100年 2月,嘉義縣,4735,1686,1462,646,411,127,107,27,67,8,0,193
100年 2月,屏東縣,6722,2792,1866,756,806,127,117,29,27,8,0,192
100年 2月,臺東縣,1946,617,222,596,383,19,6,5,1,1,0,96
100年 2月,花蓮縣,3224,1635,526,537,293,30,81,21,31,0,0,71
100年 2月,澎湖縣,917,466,88,58,230,11,16,13,8,2,0,26
100年 2月,基隆市,5042,3105,509,640,412,55,97,3,25,4,0,191
100年 2月,新竹市,3879,2737,314,210,258,218,33,20,12,1,0,75
100年 2月,嘉義市,3036,1564,805,245,107,68,131,15,24,0,0,77
100年 2月,金門縣,509,240,127,43,36,2,12,2,7,0,0,40
100年 2月,連江縣,309,112,123,14,6,0,12,2,3,0,0,38
100年 3月,新北市,37896,20234,9305,3206,2228,489,383,127,179,4,0,1740
100年 3月,臺北市,36194,18917,13355,1568,731,103,156,46,116,0,0,1202
100年 3月,桃園市,22240,12531,3598,2681,1292,77,275,65,68,2,0,1651
100年 3月,臺中市,24678,13661,3339,2808,2645,235,270,109,145,6,0,1460
100年 3月,臺南市,18683,8950,5570,1704,1247,186,166,73,59,4,0,723
100年 3月,高雄市,32295,15586,7785,4431,2895,385,268,166,112,16,0,651
100年 3月,宜蘭縣,7000,2684,1034,804,486,99,64,20,21,1,0,1788
100年 3月,新竹縣,4509,1867,1799,412,283,31,50,22,34,1,0,11
100年 3月,苗栗縣,5526,2782,1247,652,411,110,104,49,57,9,0,104
100年 3月,彰化縣,11418,6219,1499,1296,1245,292,197,106,67,13,0,484
100年 3月,南投縣,4910,2634,863,712,510,31,52,17,7,3,0,82
100年 3月,雲林縣,4143,1881,1035,454,421,47,111,58,13,17,0,106
100年 3月,嘉義縣,4548,1749,1278,673,458,133,59,20,22,5,0,149
100年 3月,屏東縣,6749,2856,1833,770,782,119,101,33,24,8,0,224
100年 3月,臺東縣,1867,552,224,605,353,30,4,4,1,1,0,94
100年 3月,花蓮縣,3087,1569,580,383,327,30,61,23,19,0,0,95
100年 3月,澎湖縣,959,471,100,90,172,10,17,13,11,3,0,71
100年 3月,基隆市,4730,2608,491,659,581,42,87,4,19,4,0,236
100年 3月,新竹市,4691,3163,398,283,412,239,51,78,17,1,0,48
100年 3月,嘉義市,3271,1615,859,280,99,48,129,17,24,0,0,201
100年 3月,金門縣,587,246,63,99,36,3,7,2,5,0,0,127
100年 3月,連江縣,201,54,88,11,5,0,9,1,2,0,0,31
100年 4月,新北市,40287,23305,8752,3122,2209,355,409,112,160,4,0,1859
100年 4月,臺北市,42706,24401,14292,1403,957,117,173,46,79,0,0,1237
100年 4月,桃園市,22883,12164,3639,3421,1679,102,322,79,131,2,0,1344
100年 4月,臺中市,24841,14268,3516,2619,2379,257,283,111,123,6,0,1279
100年 4月,臺南市,22445,11250,6313,1933,1564,222,198,73,72,7,0,812
100年 4月,高雄市,31987,15171,8202,4337,2501,370,286,148,112,18,0,844
100年 4月,宜蘭縣,5531,2704,1106,786,480,106,69,14,17,2,0,247
100年 4月,新竹縣,4627,1983,1790,421,269,33,57,24,29,1,0,19
100年 4月,苗栗縣,5579,2840,1227,681,435,105,93,47,49,9,0,94
100年 4月,彰化縣,11024,5976,1452,1227,1264,330,188,97,68,12,0,409
100年 4月,南投縣,4344,2415,887,473,386,30,48,17,7,3,0,79
100年 4月,雲林縣,4213,1902,1119,447,444,50,108,27,13,21,0,82
100年 4月,嘉義縣,4579,1629,1359,715,406,129,58,23,20,5,0,235
100年 4月,屏東縣,6649,2696,1915,788,807,100,87,33,27,9,0,188
100年 4月,臺東縣,1855,543,182,670,323,25,5,10,1,1,0,95
100年 4月,花蓮縣,3096,1645,565,428,225,24,78,27,44,0,0,59
100年 4月,澎湖縣,956,471,90,85,190,11,17,12,10,3,0,66
100年 4月,基隆市,4978,2897,533,677,498,49,105,7,25,3,0,183
100年 4月,新竹市,4708,3339,340,250,402,215,37,65,21,1,0,39
100年 4月,嘉義市,3193,1706,801,277,93,49,133,17,25,0,0,93
100年 4月,金門縣,546,277,47,118,47,8,9,4,6,0,0,29
100年 4月,連江縣,158,40,65,10,4,0,7,1,2,0,0,29
100年 5月,新北市,39685,23597,7922,3165,2207,401,419,120,166,3,0,1686
100年 5月,臺北市,41491,24314,13012,1380,804,85,287,50,297,0,0,1262
100年 5月,桃園市,22495,12170,3547,2941,1752,104,329,66,167,2,0,1417
100年 5月,臺中市,25427,14351,3489,2715,2542,286,310,99,125,7,0,1502
100年 5月,臺南市,23394,11678,6665,2169,1489,206,205,90,70,7,0,815
100年 5月,高雄市,32974,14990,8699,4237,2800,399,306,168,138,21,0,1215
100年 5月,宜蘭縣,5752,2892,1112,824,496,118,68,15,20,2,0,205
100年 5月,新竹縣,4728,2078,1795,403,263,35,77,29,29,1,0,17
100年 5月,苗栗縣,5637,2823,1226,707,424,116,98,50,48,11,0,135
100年 5月,彰化縣,11441,6311,1474,1311,1226,339,199,105,64,13,0,400
100年 5月,南投縣,4465,2405,814,529,516,41,41,17,5,3,0,94
100年 5月,雲林縣,4476,2020,1187,493,445,55,105,38,15,15,0,104
100年 5月,嘉義縣,4534,1654,1239,741,430,137,61,23,38,5,0,206
100年 5月,屏東縣,7061,2955,1971,791,843,127,111,29,28,9,0,198
100年 5月,臺東縣,1875,517,165,707,366,20,6,9,2,1,0,85
100年 5月,花蓮縣,3405,1785,600,468,271,39,72,18,43,1,0,109
100年 5月,澎湖縣,994,534,113,83,121,13,24,17,12,3,0,74
100年 5月,基隆市,5090,2939,536,647,591,55,104,15,22,2,0,179
100年 5月,新竹市,4927,3342,452,289,442,243,36,55,14,1,0,52
100年 5月,嘉義市,3389,1697,908,312,110,62,131,16,25,0,0,128
100年 5月,金門縣,541,308,56,94,27,2,6,1,4,0,0,44
100年 5月,連江縣,177,41,73,11,4,0,7,1,2,0,0,38
100年 6月,新北市,40627,24243,7973,3453,2074,371,423,124,167,4,0,1794
100年 6月,臺北市,41882,24046,13868,1372,817,136,192,52,107,0,0,1292
