統計期,統計區,總計,紙類及紙製品,金屬類,塑膠及橡膠製品,玻璃製品,紡織品,家電用品,電池,資訊及通信物品,農藥容器及特殊環境用藥容器,食用油,其他
100年,新北市,460027,258970,100656,39824,26349,4825,5075,1538,2135,44,0,20610
100年,臺北市,491820,272296,169328,16031,9503,1453,3005,839,2729,3,0,16633
100年,桃園市,284655,156515,46405,34286,20731,1211,3934,878,1690,35,0,18970
100年,臺中市,312112,174744,44386,33240,30159,3443,3859,1237,1533,83,0,19428
100年,臺南市,254245,129243,70499,21662,15056,2216,2273,1022,907,73,0,11293
100年,高雄市,413490,199698,94844,53905,37711,4879,3540,1860,1515,246,0,15292
100年,宜蘭縣,70577,34024,13268,9883,6018,1306,878,201,243,35,0,4721
100年,新竹縣,61300,25331,24369,5691,3607,414,764,315,346,6,0,457
100年,苗栗縣,67140,33242,14661,8316,5466,1269,1178,561,614,106,0,1727
100年,彰化縣,137331,76148,17410,14840,15105,3970,2298,1135,711,154,0,5560
100年,南投縣,60600,32819,10377,8266,6042,551,551,226,86,32,0,1650
100年,雲林縣,54789,25254,13651,5913,5431,694,1187,561,200,203,0,1695
100年,嘉義縣,60214,21367,19018,8965,5168,1510,920,254,572,91,0,2349
100年,屏東縣,84859,35280,23260,9946,9452,1248,1227,378,261,80,0,3726
100年,臺東縣,24451,6532,2346,7832,4924,289,55,79,13,8,0,2373
100年,花蓮縣,40385,21168,7055,5672,3349,380,934,295,354,8,0,1170
100年,澎湖縣,12709,6393,1184,1091,2485,141,256,148,137,33,0,842
100年,基隆市,64018,36994,6543,8085,7679,616,1225,67,273,32,0,2505
100年,新竹市,59635,41119,5017,3349,4349,2681,516,624,207,14,0,1758
100年,嘉義市,39450,19837,10309,3334,1373,609,1556,197,286,0,0,1949
100年,金門縣,6892,3583,736,1039,539,51,101,28,64,1,0,750
100年,連江縣,2481,775,904,147,50,0,100,13,17,0,0,474
